PM2.5,PM2.5(D-1),PM2.5(D-3),PM2.5(D-7),PM2.5(D+1),PM2.5(D+3),PM2.5(D+7),Season_Summer,Season_Rainy,Season_Winter
8.0,14.0,12.0,12.0,8.0,10.0,6.0,0,1,0
8.0,8.0,12.0,11.0,13.0,12.0,8.0,0,0,0
13.0,8.0,14.0,10.0,10.0,9.0,12.0,0,0,0
10.0,13.0,8.0,8.0,12.0,5.0,11.0,0,0,0
12.0,10.0,8.0,12.0,9.0,6.0,6.0,0,0,0
9.0,12.0,13.0,12.0,5.0,8.0,6.0,0,0,0
5.0,9.0,10.0,14.0,6.0,12.0,5.0,0,0,0
6.0,5.0,12.0,8.0,8.0,11.0,8.0,0,0,0
8.0,6.0,9.0,8.0,12.0,6.0,8.0,0,0,0
12.0,8.0,5.0,13.0,11.0,6.0,6.0,0,0,0
11.0,12.0,6.0,10.0,6.0,5.0,6.0,0,0,0
6.0,11.0,8.0,12.0,6.0,8.0,8.0,0,0,0
6.0,6.0,12.0,9.0,5.0,8.0,4.0,0,0,0
5.0,6.0,11.0,5.0,8.0,6.0,3.0,0,0,0
8.0,5.0,6.0,6.0,8.0,6.0,12.0,0,0,0
8.0,8.0,6.0,8.0,6.0,8.0,13.0,0,0,0
6.0,8.0,5.0,12.0,6.0,4.0,21.0,0,0,0
6.0,6.0,8.0,11.0,8.0,3.0,5.0,0,0,0
8.0,6.0,8.0,6.0,4.0,12.0,7.0,0,0,0
4.0,8.0,6.0,6.0,3.0,13.0,7.0,0,0,0
3.0,4.0,6.0,5.0,12.0,21.0,7.0,0,0,0
12.0,3.0,8.0,8.0,13.0,5.0,8.0,0,0,0
13.0,12.0,4.0,8.0,21.0,7.0,5.0,0,0,0
21.0,13.0,3.0,6.0,5.0,7.0,8.0,0,0,0
5.0,21.0,12.0,6.0,7.0,7.0,6.0,0,0,0
7.0,5.0,13.0,8.0,7.0,8.0,8.0,0,0,0
7.0,7.0,21.0,4.0,7.0,5.0,10.0,0,0,0
7.0,7.0,5.0,3.0,8.0,8.0,7.0,0,0,0
8.0,7.0,7.0,12.0,5.0,6.0,11.0,0,0,0
5.0,8.0,7.0,13.0,8.0,8.0,13.0,0,0,0
8.0,5.0,7.0,21.0,6.0,10.0,13.0,0,0,0
6.0,8.0,8.0,5.0,8.0,7.0,9.0,0,1,0
8.0,6.0,5.0,7.0,10.0,11.0,9.0,0,1,0
10.0,8.0,8.0,7.0,7.0,13.0,11.0,0,1,0
7.0,10.0,6.0,7.0,11.0,13.0,12.0,0,1,0
11.0,7.0,8.0,8.0,13.0,9.0,19.0,0,1,0
13.0,11.0,10.0,5.0,13.0,9.0,13.0,0,1,0
13.0,13.0,7.0,8.0,9.0,11.0,14.0,0,1,0
9.0,13.0,11.0,6.0,9.0,12.0,9.0,0,1,0
9.0,9.0,13.0,8.0,11.0,19.0,8.0,0,1,0
11.0,9.0,13.0,10.0,12.0,13.0,6.0,0,1,0
12.0,11.0,9.0,7.0,19.0,14.0,6.0,0,1,0
19.0,12.0,9.0,11.0,13.0,9.0,12.0,0,1,0
13.0,19.0,11.0,13.0,14.0,8.0,11.0,0,1,0
14.0,13.0,12.0,13.0,9.0,6.0,11.0,0,1,0
9.0,14.0,19.0,9.0,8.0,6.0,14.0,0,1,0
8.0,9.0,13.0,9.0,6.0,12.0,21.0,0,1,0
6.0,8.0,14.0,11.0,6.0,11.0,26.0,0,1,0
6.0,6.0,9.0,12.0,12.0,11.0,31.0,0,1,0
12.0,6.0,8.0,19.0,11.0,14.0,34.0,0,1,0
11.0,12.0,6.0,13.0,11.0,21.0,23.0,0,1,0
11.0,11.0,6.0,14.0,14.0,26.0,18.0,0,1,0
14.0,11.0,12.0,9.0,21.0,31.0,14.0,0,1,0
21.0,14.0,11.0,8.0,26.0,34.0,11.0,0,1,0
26.0,21.0,11.0,6.0,31.0,23.0,13.0,0,1,0
31.0,26.0,14.0,6.0,34.0,18.0,11.0,0,1,0
34.0,31.0,21.0,12.0,23.0,14.0,17.0,0,1,0
23.0,34.0,26.0,11.0,18.0,11.0,18.0,0,1,0
18.0,23.0,31.0,11.0,14.0,13.0,23.0,0,1,0
14.0,18.0,34.0,14.0,11.0,11.0,21.0,0,1,0
11.0,14.0,23.0,21.0,13.0,17.0,22.0,0,1,0
13.0,11.0,18.0,26.0,11.0,18.0,15.0,0,1,0
11.0,13.0,14.0,31.0,17.0,23.0,30.0,0,0,1
17.0,11.0,11.0,34.0,18.0,21.0,28.0,0,0,1
18.0,17.0,13.0,23.0,23.0,22.0,30.0,0,0,1
23.0,18.0,11.0,18.0,21.0,15.0,25.0,0,0,1
21.0,23.0,17.0,14.0,22.0,30.0,21.0,0,0,1
22.0,21.0,18.0,11.0,15.0,28.0,29.0,0,0,1
15.0,22.0,23.0,13.0,30.0,30.0,34.0,0,0,1
30.0,15.0,21.0,11.0,28.0,25.0,43.0,0,0,1
28.0,30.0,22.0,17.0,30.0,21.0,17.0,0,0,1
30.0,28.0,15.0,18.0,25.0,29.0,22.0,0,0,1
25.0,30.0,30.0,23.0,21.0,34.0,27.0,0,0,1
21.0,25.0,28.0,21.0,29.0,43.0,31.0,0,0,1
29.0,21.0,30.0,22.0,34.0,17.0,31.0,0,0,1
34.0,29.0,25.0,15.0,43.0,22.0,18.0,0,0,1
43.0,34.0,21.0,30.0,17.0,27.0,17.0,0,0,1
17.0,43.0,29.0,28.0,22.0,31.0,21.0,0,0,1
22.0,17.0,34.0,30.0,27.0,31.0,14.0,0,0,1
27.0,22.0,43.0,25.0,31.0,18.0,16.0,0,0,1
31.0,27.0,17.0,21.0,31.0,17.0,12.0,0,0,1
31.0,31.0,22.0,29.0,18.0,21.0,9.0,0,0,1
18.0,31.0,27.0,34.0,17.0,14.0,16.0,0,0,1
17.0,18.0,31.0,43.0,21.0,16.0,16.0,0,0,1
21.0,17.0,31.0,17.0,14.0,12.0,12.0,0,0,1
